id_exercice;nom_exercice;categorie_exercice;description_exercice;repetition_exercice;photo_exercice
;seated dumbell bicep curl;biceps;curl the dumbell while sitting down only using one hand;3 series of 12;
;seated dumbell preacher curl;biceps;two handed bicep curl xhile sitting down;3 series of 12;
;standing cable bicep curl;biceps;curl your arms upwards towards your head while standing up;3 series of 12;
;cable bicep curl ;biceps;curl the cable with one hand;3 series of 12;
;standing dumbell biceps curl;biceps;curl the dumbell while standing ;3 series of 12;
;standing barbell biceps curl;biceps;curl the barbell with both hands while standing up;3 series of 12;
;seated bicep curl ;biceps;sit down in a 90ø degrees angle and curl the dumbell with one arm;3 series of 12;
;;;;;
;inverted thigh press;;;;
;hamstring curl;;;;
;sitting calves extension;;;;
;standing calves extension;;;;
;hyperextension;;;;
;dumbell squat;;;;
;standing sumo squat;;;;
;leg extension;;;;
;one legged squat ;;;;
;dumbell standing squat;;;;
;deadlift squat;;;;
;;;;;
;incline bench lateral raise;;;;
;standing dumbbell raise;;;;
;front delt raise;;;;
;sitting lateral raise;;;;
;barbell shoulder raise;;;;
;shoulder raise;;;;
;one handed shoulder raise;;;;
;front shoulder raise;;;;
;barbell shoulder raise;;;;
;standing barbell shrugs;;;;
;sitting lateral raise with machine;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;lever d'épaule;;;;
;lever d'épaule à une main;;;;
;élévation de l'épaule avant;;;;
;lever d'épaule à la barre;;;;
;haussements d'épaules d'haltères debout;;;;
;relèvement latéral assis avec machine;;;;
